사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-05,2호선,0233,대림(구로구청),543,24,"43,932","4,097","37,568","14,579","84,471","27,298","117,346","71,894","84,238","47,667","53,349","41,773","44,425","42,073","46,294","40,988","47,365","44,677","41,931","43,788","42,283","51,352","45,903","57,820","54,591","81,354","73,764","95,317","42,283","75,889","31,676","53,551","27,361","65,951","19,391","68,167","10,119","36,393","1,528","10,122",2,100,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0234,신도림,"3,127",10,"44,917","6,456","61,674","26,162","161,859","49,338","172,946","139,709","115,047","94,673","80,593","85,532","78,165","80,431","87,510","87,311","94,630","92,175","92,414","86,448","95,390","94,720","103,485","106,327","121,782","135,637","167,069","206,968","107,170","172,278","89,866","101,056","91,309","95,784","73,767","98,830","34,712","74,808","4,011","34,630",10,"4,704",0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0235,문래,10,1,"4,337","2,627","14,518","13,588","49,718","34,922","53,995","118,864","32,202","61,283","24,575","25,914","23,611","23,481","26,947","25,015","28,031","26,051","26,933","25,405","29,490","25,685","33,605","27,974","50,513","33,959","100,639","53,724","43,554","44,637","27,403","26,067","26,680","24,322","20,680","22,770","9,831","15,229","1,744","5,260",1,121,1,1,0,0,2019-06-03 10:56:25
2019-05,2호선,0236,영등포구청,67,2,"6,732","3,601","15,669","16,200","48,322","37,498","55,557","129,257","37,433","61,008","28,845","30,183","29,186","26,240","30,061","27,684","32,394","31,360","32,165","29,258","34,406","30,645","40,773","33,258","52,666","39,267","109,803","59,779","44,223","47,003","31,563","27,915","30,702","26,877","25,581","25,979","10,823","18,156","1,867","6,892",2,151,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0237,당산,43,1,"7,788","5,387","23,046","18,387","61,904","36,575","81,516","94,693","54,681","47,278","38,358","25,221","34,021","24,948","34,337","26,517","32,997","30,584","28,813","30,886","29,635","34,187","35,764","41,831","52,298","55,713","77,462","86,514","41,056","67,444","30,211","46,140","28,224","46,029","24,944","44,979","13,260","29,781","2,148","8,331",3,197,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0238,합정,124,1,"11,199","4,049","21,553","23,195","52,238","40,390","65,982","109,632","45,596","86,499","35,415","55,065","36,253","51,755","40,812","55,262","46,631","63,372","46,785","58,153","51,235","58,953","61,235","66,903","79,145","82,633","125,273","122,866","83,326","98,925","66,387","53,848","77,769","44,363","79,505","39,974","42,696","28,034","7,421","10,415",3,235,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0239,홍대입구,"1,871",33,"44,475","5,673","40,280","22,442","78,629","45,674","101,687","130,256","81,620","153,500","73,761","122,209","80,197","131,336","93,899","161,837","107,246","185,579","117,101","182,277","140,073","185,990","166,446","200,425","199,988","236,176","236,208","303,533","190,702","248,386","189,315","150,351","229,096","119,146","255,841","101,659","151,504","74,197","20,319","28,121",7,"3,227",0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0240,신촌,190,2,"14,943","4,160","18,996","19,933","42,004","48,173","63,689","109,908","48,861","132,934","48,286","97,854","55,606","89,312","71,609","91,450","81,369","98,904","81,554","89,848","93,296","84,360","108,843","90,021","129,658","112,676","138,361","159,884","102,881","121,822","106,569","69,008","118,835","56,107","130,233","51,013","74,678","37,966","13,883","13,427",5,91,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0241,이대,51,2,"3,837","2,713","7,714","15,943","19,731","23,464","29,548","53,548","21,888","82,523","18,310","65,952","24,864","46,372","38,977","53,304","43,612","51,391","40,373","39,591","53,002","39,691","63,972","39,435","78,894","42,477","67,702","50,967","46,643","36,923","40,050","22,613","45,068","20,870","31,813","21,331","11,727","17,268","1,376","5,905",2,33,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0242,아현,13,1,"5,465","1,399","11,769","11,081","30,363","15,971","42,530","27,196","26,380","15,823","19,932","15,368","18,258","11,651","19,781","13,981","19,500","15,222","17,412","15,921","18,871","16,867","26,597","20,096","27,268","24,750","26,100","33,471","16,680","28,823","11,801","19,540","10,215","20,303","7,638","20,222","3,599","14,697",637,"4,402",1,19,0,0,0,0,2019-06-03 10:56:25
